year,rgn_id,rgn_name,score
2006,5,Connecticut,56.14276674257839
2007,5,Connecticut,57.57511740691409
2008,5,Connecticut,59.00746807124979
2009,5,Connecticut,60.43981873558549
2010,5,Connecticut,61.87216939992119
2006,6,Maine,98.91607487970478
2007,6,Maine,97.30467830327756
2008,6,Maine,95.69328172685033
2009,6,Maine,94.08188515042309
2010,6,Maine,92.47048857399587
2006,7,Massachusetts-North,92.64705882352942
2007,7,Massachusetts-North,93.74168504635364
2008,7,Massachusetts-North,94.83631126917786
2009,7,Massachusetts-North,95.93093749200209
2010,7,Massachusetts-North,97.0255637148263
2006,8,Massachusetts-South,88.30766388927441
2007,8,Massachusetts-South,90.07500624264684
2008,8,Massachusetts-South,91.84234859601926
2009,8,Massachusetts-South,93.6096909493917
2010,8,Massachusetts-South,95.37703330276413
2006,9,New Hampshire,71.2962962962963
2007,9,New Hampshire,70.07802272885115
2008,9,New Hampshire,68.859749161406
2009,9,New Hampshire,67.64147559396085
2010,9,New Hampshire,66.4232020265157
2006,10,New York,68.6947771205414
2007,10,New York,68.93455451450677
2008,10,New York,69.17433190847214
2009,10,New York,69.41410930243751
2010,10,New York,69.65388669640288
2006,11,Rhode Island,76.3099068314533
2007,11,Rhode Island,80.08723672502593
2008,11,Rhode Island,83.86456661859856
2009,11,Rhode Island,87.64189651217117
2010,11,Rhode Island,91.4192264057438
2006,1,Offshore,NA
2006,2,Georges Bank,NA
2006,3,Gulf of Maine,NA
2006,4,Mid-Atlantic Bight,NA
2007,1,Offshore,NA
2007,2,Georges Bank,NA
2007,3,Gulf of Maine,NA
2007,4,Mid-Atlantic Bight,NA
2008,1,Offshore,NA
2008,2,Georges Bank,NA
2008,3,Gulf of Maine,NA
2008,4,Mid-Atlantic Bight,NA
2009,1,Offshore,NA
2009,2,Georges Bank,NA
2009,3,Gulf of Maine,NA
2009,4,Mid-Atlantic Bight,NA
2010,1,Offshore,NA
2010,2,Georges Bank,NA
2010,3,Gulf of Maine,NA
2010,4,Mid-Atlantic Bight,NA
