region_id,year,pressure_score
1,2000,3.5428260205767675e-4
2,2000,0.02543765999912801
3,2000,0.017939838598045103
4,2000,0.01692681844045579
5,2000,0.011493900586090728
6,2000,0.025492846572552432
7,2000,0.022827376777356065
8,2000,0.014003661929529818
9,2000,0.019776900773098984
10,2000,0.012941070576034818
11,2000,0.012134374248797496
1,2001,7.071329228357548e-4
2,2001,0.033148246496981386
3,2001,0.017358757526489767
4,2001,0.03444455788120456
5,2001,0.011721384201902808
6,2001,0.02649214210267852
7,2001,0.01671945987185136
8,2001,0.015257183751705277
9,2001,0.016105004906688536
10,2001,0.01296783695378128
11,2001,0.01296748263983761
1,2002,5.968600993973926e-4
2,2002,0.0222020063260599
3,2002,0.021116754245101073
4,2002,0.03004699424685593
5,2002,0.008537021158519752
6,2002,0.028003460917591406
7,2002,0.04285730178246137
8,2002,0.02544705285220492
9,2002,0.01497300291314311
10,2002,0.013060582222027177
11,2002,0.010974931537888742
1,2003,7.505313868748585e-4
2,2003,0.03538262821501114
3,2003,0.021521281109471924
4,2003,0.03413296802886614
5,2003,0.011038627036727398
6,2003,0.018394723371983127
7,2003,0.03741668459839342
8,2003,0.019545764407942392
9,2003,0.01916352087853972
10,2003,0.011858302467257381
11,2003,0.01279348753109416
1,2004,5.394784443054609e-4
2,2004,0.04016407607019894
3,2004,0.020622802687239376
4,2004,0.02560186899195025
5,2004,0.009068520671842018
6,2004,0.03026264264318802
7,2004,0.024959126007948352
8,2004,0.012331735061580867
9,2004,0.01747260764326661
10,2004,0.01173858686132376
11,2004,0.010029004979840588
1,2005,2.21988236603664e-4
2,2005,0.02672324075102697
3,2005,0.015906043675970104
4,2005,0.02392754001587342
5,2005,0.00956028935638821
6,2005,0.02469528010887447
7,2005,0.014262060074855578
8,2005,0.014117125741455594
9,2005,0.009859011190251336
10,2005,0.00995590154743641
11,2005,0.00930522029053569
1,2006,5.774748687668683e-4
2,2006,0.03737836497978869
3,2006,0.011267819653365254
4,2006,0.028180375910334555
5,2006,0.01373470316425924
6,2006,0.02915882899292308
7,2006,0.011425075861399426
8,2006,0.011941513330394829
9,2006,0.007078478954424826
10,2006,0.013124472268813242
11,2006,0.006431106969528357
1,2007,7.075184914020478e-4
2,2007,0.014331946204489628
3,2007,0.014630169709449106
4,2007,0.040296421961807896
5,2007,0.00586734265987358
6,2007,0.018570206579866425
7,2007,0.013297667789139992
8,2007,0.008415427796531542
9,2007,0.024258906414749426
10,2007,0.006408622176534135
11,2007,0.005808148436775265
1,2008,4.2230359805119907e-4
2,2008,0.059333986319731996
3,2008,0.011481105399813589
4,2008,0.013605426515112805
5,2008,0.009429359866619072
6,2008,0.013014479839359364
7,2008,0.01378840234193471
8,2008,0.01408377040099538
9,2008,0.01920951142428665
10,2008,0.008482141215372049
11,2008,0.005765886108102756
1,2009,3.628789596064916e-4
2,2009,0.01852773763306162
3,2009,0.028868937782507268
4,2009,0.03277801806463684
5,2009,0.005938891659972314
6,2009,0.09843884963388537
7,2009,0.023938028464416884
8,2009,0.006405799097336142
9,2009,0.011025323376589275
10,2009,0.006526354197339365
11,2009,0.015672008411099073
1,2010,0.001041394159427561
2,2010,0.040313072081556905
3,2010,0.03445579456715018
4,2010,0.029860182629702626
5,2010,0.018652399379168478
6,2010,0.025960279542078656
7,2010,0.03861779614096654
8,2010,0.007527997451775601
9,2010,0.015104952332384269
10,2010,0.01682033872723378
11,2010,0.024456790714842233
1,2011,3.7088690342451e-4
2,2011,0.060535614796496766
3,2011,0.017023808227143125
4,2011,0.023002696429842
5,2011,0.013162185439199522
6,2011,0.010236142892865542
7,2011,0.029295357729698393
8,2011,0.020010842995255726
9,2011,0.02514959171995384
10,2011,0.013420585643247085
11,2011,0.015424401021104851
1,2012,2.8824611928130107e-4
2,2012,0.03858551610146388
3,2012,0.01839501345215836
4,2012,0.0415216827389601
5,2012,0.012554885670750492
6,2012,0.0181563892787044
7,2012,0.019406915965920642
8,2012,0.021438655202658415
9,2012,0.01482211795866216
10,2012,0.021262335602072326
11,2012,0.013866096161966893
1,2013,4.85556165475366e-4
2,2013,0.026702326057884508
3,2013,0.013983947348547502
4,2013,0.030905387107556005
5,2013,0.015968311245900303
6,2013,0.017982328152396344
7,2013,0.008661410048665304
8,2013,0.006113588315814206
9,2013,0.0165058279563801
10,2013,0.011638572372284762
11,2013,0.009151001277517523
1,2014,4.640598516862414e-4
2,2014,0.015621414942489026
3,2014,0.015172833058881362
4,2014,0.010317832724260024
5,2014,0.007167236561999409
6,2014,0.02250352488536755
7,2014,0.011454158384800664
8,2014,0.005459835840278759
9,2014,0.012134944208376451
10,2014,0.008163610599579737
11,2014,0.00875275120316553
1,2015,0.0012130759673493487
2,2015,0.030673088195209402
3,2015,0.01466588976862011
4,2015,0.017415272632705245
5,2015,0.007879016596122383
6,2015,0.024264655384996517
7,2015,0.018636200992882407
8,2015,0.012598955999784887
9,2015,0.03665117313658152
10,2015,0.009212735225124316
11,2015,0.01187376912039014
