rgn_name,rgn_id,year,perc_open
Connecticut,5,2005,0.948
Connecticut,5,2006,0.9435897435897436
Connecticut,5,2007,0.9658064516129032
Connecticut,5,2008,0.9543478260869566
Connecticut,5,2009,0.964
Connecticut,5,2010,0.9624324324324325
Connecticut,5,2011,0.9215686274509804
Connecticut,5,2012,0.9583333333333334
Connecticut,5,2013,0.9713513513513513
Connecticut,5,2014,0.9645454545454546
Connecticut,5,2015,0.9744827586206897
Connecticut,5,2016,0.94875
Connecticut,5,2017,0.951875
Maine,6,2005,0.9325
Maine,6,2006,0.9258823529411765
Maine,6,2007,0.9375862068965517
Maine,6,2008,0.9335
Maine,6,2009,0.936060606060606
Maine,6,2010,0.9251851851851852
Maine,6,2011,0.9372222222222222
Maine,6,2012,0.9538095238095238
Maine,6,2013,0.8981481481481481
Maine,6,2014,0.9326470588235294
Maine,6,2015,0.932972972972973
Maine,6,2016,0.9648571428571429
Maine,6,2017,0.970625
Massachusetts-North,7,2005,0.9528169014084507
Massachusetts-North,7,2006,0.895
Massachusetts-North,7,2007,0.9527536231884058
Massachusetts-North,7,2008,0.9377631578947369
Massachusetts-North,7,2009,0.9343362831858407
Massachusetts-North,7,2010,0.9370930232558139
Massachusetts-North,7,2011,0.929438202247191
Massachusetts-North,7,2012,0.937
Massachusetts-North,7,2013,0.9326506024096386
Massachusetts-North,7,2014,0.9369387755102041
Massachusetts-North,7,2015,0.8935714285714286
Massachusetts-North,7,2016,0.9319999999999999
Massachusetts-North,7,2017,0.9409302325581396
Massachusetts-South,8,2005,0.978
Massachusetts-South,8,2006,0.937741935483871
Massachusetts-South,8,2007,0.967741935483871
Massachusetts-South,8,2008,0.975
Massachusetts-South,8,2009,0.9591836734693877
Massachusetts-South,8,2010,0.9579310344827586
Massachusetts-South,8,2011,0.960625
Massachusetts-South,8,2012,0.9564705882352941
Massachusetts-South,8,2013,0.9623611111111111
Massachusetts-South,8,2014,0.9496428571428571
Massachusetts-South,8,2015,0.9491666666666667
Massachusetts-South,8,2016,0.9623529411764706
Massachusetts-South,8,2017,0.956875
New Hampshire,9,2005,0.99
New Hampshire,9,2006,0.954
New Hampshire,9,2007,0.98
New Hampshire,9,2008,0.9675
New Hampshire,9,2009,0.976
New Hampshire,9,2010,0.968
New Hampshire,9,2011,0.97
New Hampshire,9,2012,0.98
New Hampshire,9,2013,0.955
New Hampshire,9,2014,0.9625
New Hampshire,9,2015,0.98
New Hampshire,9,2016,0.94
New Hampshire,9,2017,0.97
New York,10,2005,0.9228235294117647
New York,10,2006,0.8807339449541285
New York,10,2007,0.8914406779661017
New York,10,2008,0.8914035087719299
New York,10,2009,0.8798360655737705
New York,10,2010,0.94
New York,10,2011,0.9107821229050279
New York,10,2012,0.8726612903225807
New York,10,2013,0.8974576271186441
New York,10,2014,0.8892372881355932
New York,10,2015,0.8765254237288136
New York,10,2016,0.9117948717948718
New York,10,2017,0.8395419847328245
Rhode Island,11,2005,0.912
Rhode Island,11,2006,0.638
Rhode Island,11,2007,0.9542857142857143
Rhode Island,11,2008,0.9380952380952381
Rhode Island,11,2009,0.8944444444444445
Rhode Island,11,2010,0.9614285714285714
Rhode Island,11,2011,0.9566666666666667
Rhode Island,11,2012,0.9715384615384616
Rhode Island,11,2013,0.9326666666666666
Rhode Island,11,2014,0.973125
Rhode Island,11,2015,0.9616666666666667
Rhode Island,11,2016,0.9642857142857143
Rhode Island,11,2017,0.938
Offshore,1,2005,NA
Georges Bank,2,2005,NA
Gulf of Maine,3,2005,NA
Mid-Atlantic Bight,4,2005,NA
Offshore,1,2006,NA
Georges Bank,2,2006,NA
Gulf of Maine,3,2006,NA
Mid-Atlantic Bight,4,2006,NA
Offshore,1,2007,NA
Georges Bank,2,2007,NA
Gulf of Maine,3,2007,NA
Mid-Atlantic Bight,4,2007,NA
Offshore,1,2008,NA
Georges Bank,2,2008,NA
Gulf of Maine,3,2008,NA
Mid-Atlantic Bight,4,2008,NA
Offshore,1,2009,NA
Georges Bank,2,2009,NA
Gulf of Maine,3,2009,NA
Mid-Atlantic Bight,4,2009,NA
Offshore,1,2010,NA
Georges Bank,2,2010,NA
Gulf of Maine,3,2010,NA
Mid-Atlantic Bight,4,2010,NA
Offshore,1,2011,NA
Georges Bank,2,2011,NA
Gulf of Maine,3,2011,NA
Mid-Atlantic Bight,4,2011,NA
Offshore,1,2012,NA
Georges Bank,2,2012,NA
Gulf of Maine,3,2012,NA
Mid-Atlantic Bight,4,2012,NA
Offshore,1,2013,NA
Georges Bank,2,2013,NA
Gulf of Maine,3,2013,NA
Mid-Atlantic Bight,4,2013,NA
Offshore,1,2014,NA
Georges Bank,2,2014,NA
Gulf of Maine,3,2014,NA
Mid-Atlantic Bight,4,2014,NA
Offshore,1,2015,NA
Georges Bank,2,2015,NA
Gulf of Maine,3,2015,NA
Mid-Atlantic Bight,4,2015,NA
Offshore,1,2016,NA
Georges Bank,2,2016,NA
Gulf of Maine,3,2016,NA
Mid-Atlantic Bight,4,2016,NA
Offshore,1,2017,NA
Georges Bank,2,2017,NA
Gulf of Maine,3,2017,NA
Mid-Atlantic Bight,4,2017,NA
